3144004,82,false,19,2,14-15,8.0
859654,82,true,20,1,10-11,13.0
2429055,426,true,13,1,16-17,30.0
1643238,426,true,14,2,12-13,30.0
1083882,441,false,14,6,18-19,30.0
1454689,441,true,15,3,22-23,25.0
1494174,594,false,5,2,14-15,28.0
2713339,594,true,6,3,12-13,30.0
705212,764,true,2,2,10-11,13.0
1813452,764,true,3,4,16-17,9.0
3179624,1219,true,24,1,10-11,14.0
164257,1219,false,25,4,12-13,3.0
1425379,1344,false,27,3,14-15,9.0
2896211,1344,true,28,3,12-13,14.0
1081162,1357,true,7,1,8-9,30.0
2945242,1357,true,8,4,8-9,30.0
3404990,1389,true,3,2,12-13,20.0
1807251,1389,false,4,4,10-11,9.0
147337,1413,true,7,1,14-15,5.0
1233409,1413,false,8,0,20-21,6.0
520270,1480,true,42,3,12-13,8.0
2431163,1480,false,43,2,10-11,13.0
547522,1495,true,5,1,14-15,27.0
3108123,1495,false,6,3,8-9,30.0
699421,1537,false,73,5,12-13,14.0
2604897,1537,true,74,5,18-19,21.0
749498,1540,true,28,0,20-21,6.0
6695,1540,true,29,1,0-1,8.0
402110,1557,false,7,0,10-11,30.0
562359,1557,true,8,0,12-13,30.0
100523,1642,true,19,1,10-11,30.0
2307480,1642,false,20,1,10-11,0.0
2818381,1647,true,9,4,14-15,25.0
1053986,1647,true,10,3,12-13,27.0
1453240,1651,false,3,6,8-9,19.0
1351545,1651,true,4,6,18-19,30.0
2799219,1680,false,42,4,14-15,6.0
2990557,1680,true,43,4,10-11,7.0
644715,1779,true,13,2,8-9,15.0
1609350,1779,true,14,1,8-9,13.0
700694,1896,true,2,4,22-23,30.0
1093644,1896,false,3,3,22-23,6.0
2094108,2372,true,5,0,10-11,5.0
3327452,2372,false,6,0,10-11,14.0
2802019,2383,false,68,5,14-15,2.0
689584,2383,true,69,4,14-15,6.0
3046232,2614,false,17,4,18-19,11.0
1173240,2614,true,18,0,14-15,30.0
2163016,2634,true,12,2,12-13,22.0
1649031,2634,true,13,4,8-9,16.0
1885958,2879,false,30,4,18-19,14.0
197937,2879,true,31,6,6-7,9.0
1480523,3343,true,8,3,16-17,13.0
3017762,3343,true,9,5,16-17,9.0
2615990,3434,false,7,1,8-9,17.0
2364765,3434,true,8,1,8-9,14.0
135477,3462,true,11,1,2-3,27.0
1866675,3462,true,12,1,10-11,30.0
1662615,3467,true,26,2,10-11,8.0
1694960,3467,false,27,4,8-9,2.0
422147,3799,false,12,1,10-11,15.0
710669,3799,true,13,6,22-23,5.0
2174347,3968,false,12,3,18-19,21.0
3317228,3968,true,13,2,12-13,30.0
2717974,3995,false,4,1,8-9,14.0
2237500,3995,true,5,1,10-11,30.0
1490905,4118,true,44,4,10-11,11.0
154383,4118,true,45,3,16-17,13.0
833683,4140,true,4,1,10-11,0.0
1756193,4140,true,5,1,8-9,7.0
216316,4198,false,4,1,18-19,30.0
926824,4198,true,5,5,18-19,30.0
1927002,4214,true,12,2,8-9,13.0
1773277,4214,false,13,1,16-17,30.0
1958291,4242,true,9,4,16-17,3.0
2407582,4242,true,10,4,16-17,7.0
903668,4367,false,9,3,8-9,28.0
257849,4367,true,10,1,14-15,30.0
902454,4368,true,56,5,10-11,7.0
897664,4368,true,57,5,12-13,7.0
1026926,4474,true,36,1,12-13,14.0
3417935,4474,true,37,5,16-17,4.0
2901154,4573,false,7,1,16-17,30.0
1379323,4573,true,8,3,18-19,30.0
716214,4592,false,6,1,16-17,20.0
815874,4592,true,7,2,10-11,22.0
1297061,4801,true,15,3,22-23,15.0
2845360,4801,false,16,6,8-9,24.0
2487056,4847,true,18,2,16-17,30.0
833715,4847,false,19,1,16-17,20.0
2808613,4984,false,38,3,12-13,9.0
2043219,4984,true,39,5,10-11,9.0
1515664,5055,false,17,3,10-11,1.0
511598,5055,true,18,2,10-11,13.0
2265195,5100,true,15,4,8-9,10.0
1957205,5100,false,16,2,14-15,30.0
1656701,5188,false,14,4,14-15,7.0
2130795,5188,true,15,4,12-13,7.0
